control_number,specific_name,generic_name,category,qty,unit,origin,ship_date
2014405686,WHITE-TAILED,DEER,LPS,480,NO,US,1/12/14
2014405686,AMERICAN,BISON,LPS,360,NO,US,1/12/14
2014405742,AMERICAN BLACK,BEAR,RUG,1,NO,CA,1/20/14
2014405763,GREAT PEARL,OYSTER,JWL,238,NO,PH,1/19/14
2014405763,ABALONE,SHELL,JWL,202,NO,NZ,1/19/14
2014405763,,SHELL,JWL,69,NO,US,1/19/14
2014405763,,OYSTER,JWL,45,NO,PF,1/19/14
2014405763,,SEA FAN,JWL,1,NO,CN,1/19/14
2014405763,,OYSTER,JWL,24,NO,PH,1/19/14
2014405774,,SQUID,MEA,1,KG,CN,1/21/14
2014405775,,SQUID,MEA,1142,KG,TH,1/20/14
2014405778,,IMPALA,TRO,1,NO,ZA,1/16/14
2014405778,COMMON,WARTHOG,TRO,1,NO,ZA,1/16/14
2014405778,BURCHELL'S,ZEBRA,TRO,1,NO,ZA,1/16/14
2014405799,ABALONE,SHELL,SPR,4,NO,CN,1/6/14
2014405808,CHACMA,BABOON,TRO,2,NO,ZA,1/10/14
2014405808,BLACK-BACKED,JACKAL,TRO,1,NO,ZA,1/10/14
2014405808,,BLESBOK,TRO,2,NO,ZA,1/10/14
2014405808,BLUE,WILDEBEEST,TRO,1,NO,ZA,1/10/14
2014405808,COMMON,ELAND,TRO,1,NO,ZA,1/10/14
2014405808,,GEMSBOK,TRO,1,NO,ZA,1/10/14
2014405808,,IMPALA,TRO,3,NO,ZA,1/10/14
2014405808,GREATER,KUDU,TRO,2,NO,ZA,1/10/14
2014405808,COMMON,WARTHOG,TRO,3,NO,ZA,1/10/14
2014405808,,WATERBUCK,TRO,1,NO,ZA,1/10/14
2014405815,AMERICAN BLACK,BEAR,CLA,4,NO,CA,1/15/14
2014405815,N. AMERICAN BROWN,BEAR,CLA,10,NO,CA,1/15/14
2014406021,WHITE-TAILED,DEER,LPS,4032,NO,US,1/22/14
2014406378,BEKA,SQUID,MEA,654,KG,CN,1/24/14
2014406378,BEKA,SQUID,MEA,8,KG,KR,1/24/14
2014406378,N. PACIFIC GIANT,OCTOPUS,MEA,720,KG,VN,1/24/14
2014406385,,STARFISH,BOD,23200,NO,PH,1/19/14
2014406385,MOLLUSC,SHELL,SPR,2100,NO,PH,1/19/14
2014406385,,SAND DOLLAR,BOD,21600,NO,PH,1/19/14
2014406389,ARGENTINE SHORTFIN,SQUID,BOD,4491,KG,AR,1/24/14
2014406389,ARGENTINE SHORTFIN,SQUID,BOD,4491,KG,AR,1/24/14
2014406392,,LECHWE,TRO,1,NO,ZA,1/20/14
2014406392,COMMON,ELAND,TRO,1,NO,ZA,1/20/14
2014406396,,BLESBOK,TRO,1,NO,ZA,1/20/14
2014406396,BLUE,WILDEBEEST,TRO,1,NO,ZA,1/20/14
2014406396,COMMON,ELAND,TRO,1,NO,ZA,1/20/14
2014406396,,IMPALA,TRO,2,NO,ZA,1/20/14
2014406396,GREATER,KUDU,TRO,1,NO,ZA,1/20/14
2014406396,,HARTEBEEST,TRO,1,NO,ZA,1/20/14
2014406396,,STEENBOK,TRO,1,NO,ZA,1/20/14
2014406396,COMMON,WARTHOG,TRO,2,NO,ZA,1/20/14
2014406396,BURCHELL'S,ZEBRA,TRO,1,NO,ZA,1/20/14
2014406402,CHACMA,BABOON,TRO,4,NO,ZA,1/20/14
